GEOID,Borough,NTA,p_college_pop_2000
36005044901,Bronx,Woodlawn-Wakefield,0.23268386211254458
36005044902,Bronx,Woodlawn-Wakefield,0.14416005891443526
36005045101,Bronx,Woodlawn-Wakefield,0.23803478866932817
36005045102,Bronx,Woodlawn-Wakefield,0.17153422336220453
36005045600,Bronx,Eastchester-Edenwald-Baychester,0.14065909320609832
36005045800,Bronx,Eastchester-Edenwald-Baychester,0.02934844131323945
36005046000,Bronx,Eastchester-Edenwald-Baychester,0.11829167952029424
36005046201,Bronx,Co-op City,0.16325611639676751
36005046202,Bronx,Co-op City,0.1161978967232929
36005048400,Bronx,Eastchester-Edenwald-Baychester,0.1557609731757421
36005051600,Bronx,Pelham Bay-Country Club-City Island,0.2537572435407931
36047000100,Brooklyn,Brooklyn Heights-Cobble Hill,0.4609507279501202
36047000200,Brooklyn,Sunset Park West,0.018025691642734223
36047000301,Brooklyn,Brooklyn Heights-Cobble Hill,0.5952487927780777
36047000501,Brooklyn,Brooklyn Heights-Cobble Hill,0.6083230259394977
36047000502,Brooklyn,Brooklyn Heights-Cobble Hill,0.682468210598828
36047000700,Brooklyn,Brooklyn Heights-Cobble Hill,0.6657333812529292
36047000900,Brooklyn,Brooklyn Heights-Cobble Hill,0.597097831685963
36047001100,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-0.005969110337295107
36047001300,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.4906944865941948
36047001500,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.08777258483424248
36047001800,Brooklyn,Sunset Park West,0.0995756871799396
36047002000,Brooklyn,Sunset Park West,0.04773770223355072
36047002100,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.4875336254918643
36047002200,Brooklyn,Sunset Park West,0.08701545283528787
36047002300,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.010952812964711907
36047002901,Brooklyn,Fort Greene,0.01612583200342986
36047003000,Brooklyn,Bay Ridge,0.3030111273489423
36047003100,Brooklyn,Fort Greene,0.22708774354277306
36047003300,Brooklyn,Fort Greene,0.3993956698899488
36047003400,Brooklyn,Bay Ridge,0.27892035204715565
36047003500,Brooklyn,Fort Greene,0.32785369324668173
36047003600,Brooklyn,Bay Ridge,0.29972194640914124
36047003700,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.338777417111027
36047003800,Brooklyn,Bay Ridge,0.4034901502047007
36047003900,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.31741937554181043
36047004100,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.48736371777985765
36047004300,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.3252635167309877
36047004400,Brooklyn,Bay Ridge,0.34862236029995847
36047004500,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.6040422520850539
36047004600,Brooklyn,Bay Ridge,0.27422444546867425
36047004700,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.33258217644777904
36047004900,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.39720901126107505
36047005000,Brooklyn,Bay Ridge,0.3299320133515923
36047005100,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.354328668452267
36047005201,Brooklyn,Bay Ridge,0.27878272262993925
36047005202,Brooklyn,Bay Ridge,0.2936862673669514
36047005300,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.15456206639075767
36047005400,Brooklyn,Bay Ridge,0.32277067402463006
36047005601,Brooklyn,Bay Ridge,0.2998658020507963
36047005602,Brooklyn,Bay Ridge,0.39609227582209244
36047005800,Brooklyn,Bay Ridge,0.2923170755521694
